draw,mu_1,sigma
315,0.08525606989860535,0.3992425203323364
316,0.05404667556285858,0.4510149359703064
317,0.06200685352087021,0.4657035768032074
318,-0.009342832490801811,0.3926433026790619
319,0.03970019519329071,0.4867677688598633
320,0.0441792756319046,0.44932159781455994
321,0.0043121203780174255,0.4214473068714142
322,0.052066657692193985,0.4099063277244568
323,0.08238747715950012,0.4343734681606293
324,0.009386666119098663,0.4827444553375244
325,0.042150113731622696,0.4676051735877991
326,0.018479926511645317,0.3886009752750397
327,0.025673558935523033,0.48457813262939453
328,0.04376072436571121,0.465339720249176
329,0.03346158564090729,0.4491176903247833
330,0.03192275017499924,0.4465332627296448
331,0.06566629558801651,0.44493207335472107
332,-0.03566598892211914,0.4479672908782959
333,0.007252303883433342,0.503054141998291
334,-0.06551665812730789,0.42976129055023193
335,-0.007973400875926018,0.43039897084236145
336,0.047466941177845,0.4618123471736908
337,-0.012967115268111229,0.46374329924583435
338,0.08355513215065002,0.4573657810688019
339,0.053519800305366516,0.4808289706707001
340,0.025310736149549484,0.45200371742248535
341,-0.0036228355020284653,0.41069331765174866
342,0.09294544160366058,0.4841699004173279
343,-0.030070321634411812,0.5291735529899597
344,0.020280515775084496,0.4444924294948578
345,0.012068485841155052,0.48246338963508606
346,-0.027757728472352028,0.42787060141563416
347,0.018873758614063263,0.4542369842529297
348,0.005356840789318085,0.3827517330646515
349,-0.023067602887749672,0.3885143995285034
350,-0.0011454727500677109,0.45965540409088135
351,0.06363663822412491,0.48308250308036804
352,0.016956714913249016,0.4736308455467224
353,0.04451465606689453,0.4186291992664337
354,0.04483654350042343,0.46608102321624756
355,0.055687516927719116,0.4435533583164215
356,0.03723915293812752,0.5339474081993103
357,0.04676283523440361,0.4296741485595703
358,0.0166204534471035,0.43211159110069275
359,-0.05179072171449661,0.4586654603481293
360,0.03422219678759575,0.4462409019470215
361,0.01825462467968464,0.44416722655296326
362,2.7487054467201233e-05,0.478130578994751
363,0.040208980441093445,0.3933630883693695
364,0.030915213748812675,0.46415218710899353
365,0.02214927226305008,0.441003680229187
366,-0.051124751567840576,0.44686630368232727
367,0.02304290607571602,0.4721013307571411
368,0.012220431119203568,0.45609843730926514
369,-0.029833344742655754,0.44805479049682617
370,0.00950159877538681,0.45503610372543335
371,0.0011356882750988007,0.457398384809494
372,0.05784571170806885,0.4799390733242035
373,-0.06719910353422165,0.44958603382110596
374,0.03428424894809723,0.45828717947006226
375,0.013604698702692986,0.4486181437969208
376,0.038866329938173294,0.43999359011650085
377,0.008610673248767853,0.4628383219242096
378,0.06623922288417816,0.47133564949035645
379,-0.012315085157752037,0.44164329767227173
380,0.049039147794246674,0.46087533235549927
381,0.011406634002923965,0.44796231389045715
382,0.05648111179471016,0.45063525438308716
383,0.014045396819710732,0.46635282039642334
384,0.057008787989616394,0.43805643916130066
385,-0.009971002116799355,0.485929012298584
386,-0.0496392548084259,0.455780029296875
387,0.06701696664094925,0.41888824105262756
388,0.026603877544403076,0.44442760944366455
389,0.06824365258216858,0.42530933022499084
390,-0.025891480967402458,0.44916218519210815
391,0.06481023132801056,0.4224139451980591
392,0.009986737743020058,0.44192570447921753
393,0.07283613085746765,0.4239383041858673
394,-0.0005546845495700836,0.4304544925689697
395,0.026645909994840622,0.4857005178928375
396,-0.010116303339600563,0.4342057704925537
397,0.010968238115310669,0.39499688148498535
398,-0.003452429547905922,0.46826818585395813
399,0.008941002190113068,0.49707770347595215
400,0.004817130044102669,0.4536578953266144
401,0.051985256373882294,0.39367422461509705
402,0.032256558537483215,0.39455312490463257
403,0.02813030406832695,0.44710782170295715
404,0.06453056633472443,0.42109358310699463
405,-0.0029356982558965683,0.4412904679775238
406,-0.010590633377432823,0.4816146194934845
407,0.030768591910600662,0.44416651129722595
408,0.1061612069606781,0.4212924838066101
409,0.03157623112201691,0.43892818689346313
410,-0.0030272286385297775,0.48083367943763733
411,0.03332940861582756,0.4389735162258148
412,0.025790482759475708,0.4683897793292999
413,0.004841050133109093,0.47062936425209045
414,-0.009166674688458443,0.4458402991294861
415,0.04342399537563324,0.4589376151561737
416,0.04145297780632973,0.47816500067710876
417,0.012528158724308014,0.4026191234588623
418,-0.0022587887942790985,0.416259229183197
419,0.010276565328240395,0.48414111137390137
420,-0.002333378419280052,0.45250001549720764
421,0.03141224756836891,0.5047348737716675
422,0.02583141438663006,0.40999841690063477
423,-0.0110026765614748,0.48104336857795715
424,0.11342433094978333,0.45420658588409424
425,-0.057222262024879456,0.41537466645240784
426,-0.03241220861673355,0.4474736750125885
427,0.029572147876024246,0.44047507643699646
428,0.04062848538160324,0.4815574586391449
429,0.02348802424967289,0.4393910765647888
430,0.10671380907297134,0.43511074781417847
431,0.03779112547636032,0.45280537009239197
432,-0.0946466326713562,0.4374311566352844
433,0.033931538462638855,0.4405195415019989
434,0.004236547276377678,0.4498094916343689
435,0.02046717330813408,0.4622448980808258
436,0.044554829597473145,0.4773096442222595
437,-0.01978672854602337,0.4998064935207367
438,-0.014661671593785286,0.4680991470813751
439,-0.0010576527565717697,0.4413995146751404
440,0.03954143449664116,0.4372698664665222
441,0.01811397448182106,0.44603100419044495
442,-0.00373716838657856,0.45185044407844543
443,0.05135999619960785,0.4495934844017029
444,0.04539112001657486,0.4318128824234009
445,0.04673582315444946,0.408829003572464
